,Baseline,Undersampling,Oversampling,SMOTE,SMOTE Undersampling
0.01,0.5390060076242423,0.026282575120296543,0.34920913311694446,0.3837228721460921,0.16998841374418133
0.02,0.7476521239702635,0.06817967485751739,0.42991020598587987,0.48382564373472037,0.18466363356973542
0.03,0.8064014556841266,0.10725393235661608,0.5183528276461997,0.5598390282863425,0.2221408883188081
0.04,0.8195970838475856,0.19458463462276804,0.5698440719215124,0.6042099074434455,0.27177783314211507
0.05,0.8372504407419106,0.2874111379897006,0.6153829763159828,0.6448775778475374,0.3185902064140509
0.060000000000000005,0.840868022560332,0.37056599515650546,0.6403436669134005,0.6607466856568948,0.3612320565565312
0.06999999999999999,0.8405889981539374,0.4214930946733828,0.6521464584065246,0.6784052809241176,0.3897218152371628
0.08,0.8393367478494863,0.4969729934724121,0.6831787159912353,0.6944287724361021,0.42054210681844995
0.09,0.8295808431684016,0.5331729024036438,0.6864413866515506,0.7013596025130416,0.44711030848134803
0.09999999999999999,0.8386070883039545,0.5723599190389752,0.7087106853820982,0.7207959900000814,0.4698361488655329
0.11,0.836360507220314,0.609572897179308,0.7106522913840932,0.7234037900041808,0.4875002355227844
0.12,0.8316687719984011,0.635714036286582,0.7228302869687516,0.7333940172753355,0.5037380875857139
0.13,0.8298276873245009,0.6397689028921321,0.7201803205227442,0.7291552504069273,0.5166679642457827
0.14,0.8239772728714403,0.6574992445182044,0.7248959746015076,0.7354868140372021,0.5313188751967972
0.15000000000000002,0.8262766677031009,0.6718853235793903,0.7322639369055901,0.7414424348183767,0.5403147334354906
0.16,0.8387158102202381,0.7068159908484738,0.7578136741728596,0.7693799576924965,0.572119339133869
0.17,0.821839483215533,0.6993680348545698,0.7442999380667824,0.7523970493382252,0.5719169700586902
0.18000000000000002,0.8233962493626324,0.7180932073256597,0.7597904047345677,0.7668035164361982,0.5940653858127657
0.19,0.8247928106834531,0.7258807509379487,0.7648947373051286,0.7717629343347462,0.6021251035299479
0.2,0.8250818102344513,0.7412424170058057,0.7719194272803405,0.7787681339501745,0.6167682684626645
0.21000000000000002,0.8254961568867681,0.7408251023620627,0.768769375184698,0.777511685021469,0.6215334024292183
0.22,0.8267046696076595,0.7540700610009513,0.7801025175232649,0.7873264713946719,0.6367406024251512
0.23,0.8223719307702723,0.7534707822347217,0.77612252484806,0.7830667492016783,0.6385157463033164
0.24000000000000002,0.8195113550710105,0.7612730682757017,0.7819262315711915,0.7869617014677235,0.6496780287802416
0.25,0.816925837334406,0.7613101815551876,0.7813816846103017,0.7860555305621495,0.6560728328013625
0.26,0.8137431332232612,0.7634827802906389,0.78035519400951,0.7850084059019022,0.6610976208597601
0.27,0.8171828911311252,0.7693664432924543,0.7861201983581979,0.7910733428570221,0.6662349627074233
0.28,0.8191128532546048,0.7780098360204929,0.7917631113086437,0.796667607863136,0.6838379762606936
0.29000000000000004,0.817288914400698,0.7792675608660938,0.7919684244399245,0.7978073713628094,0.6829510591420609
0.3,0.8202340912075351,0.7855262973857373,0.7966753581483103,0.8019687918903682,0.6923954044609308
0.31,0.8169361906872494,0.7865463224491492,0.7968024137427119,0.8018054852380543,0.6979320695842235
0.32,0.8242659100101107,0.7957177274570159,0.8061494511246472,0.8096869975187628,0.7032788822903118
0.33,0.8197560763476326,0.7952351241975179,0.802798377269007,0.8067503841448872,0.7104365638743768
0.34,0.8153412105137979,0.792735550716751,0.8004783103346347,0.8042469441488787,0.7137530355067856
0.35000000000000003,0.8222857218664569,0.8020763272782092,0.8092088348005051,0.8129053460368388,0.7189830353718611
0.36000000000000004,0.8269056501581828,0.809637260846211,0.8157108081857977,0.8197451499797087,0.7287267960322366
0.37,0.8209496561842938,0.8061354913813764,0.8109137106403408,0.8151936883192442,0.7326810151141627
0.38,0.821842358717914,0.8092370685452723,0.8135924843401321,0.8169010132468458,0.7390532438088638
0.39,0.8201704798146695,0.810240275038949,0.8134512392705935,0.8161461014199645,0.7412251435653652
0.4,0.8256895382769558,0.8170284225790425,0.8196389836033642,0.8228281594207684,0.7525605310386546
