,Baseline,Undersampling,Oversampling,SMOTE,SMOTE Undersampling
1.0,0.9140599578947367,0.8814033263157904,0.9121159578947369,0.9125042947368424,0.8958901263157899
2.0,0.8938922526315789,0.8636808000000002,0.8958966315789484,0.8958165894736841,0.8774080631578953
3.0,0.867058736842106,0.8402550105263163,0.873382210526316,0.8724183789473685,0.854473368421052
4.0,0.8616822947368422,0.8345696210526311,0.8700466947368419,0.8683229052631589,0.8496707157894736
5.0,0.866536715789474,0.8425963999999998,0.8762785684210529,0.87482292631579,0.8574686526315789
6.0,0.865390273684211,0.8390271368421056,0.8749284210526318,0.8735133263157902,0.8540956421052638
7.0,0.8709685052631579,0.8477171578947376,0.882715684210526,0.8809626105263149,0.8621728631578945
8.0,0.8693588842105267,0.8477904210526311,0.8813657263157894,0.8799585473684216,0.8630576421052634
9.0,0.8618885894736851,0.8411188631578937,0.87571225263158,0.8734134947368417,0.856593642105263
10.0,0.8733777684210523,0.8515594526315784,0.8865361894736843,0.8843064842105264,0.8675642526315782
11.0,0.8708597052631585,0.8528498736842106,0.884115031578948,0.881906884210527,0.8653985052631581
12.0,0.8655888421052634,0.8449777052631571,0.880835789473685,0.8785420631578944,0.8616981894736851
13.0,0.8622325684210524,0.8453331789473683,0.878801936842106,0.8752562105263153,0.8601484421052634
14.0,0.8664775999999994,0.8492996210526318,0.8849506947368425,0.8804105473684211,0.8666017894736845
15.0,0.8690948210526314,0.8534574105263159,0.8873109473684206,0.8835858526315793,0.8695011157894738
16.0,0.8658110315789472,0.8518063368421052,0.8846515157894741,0.8804389263157884,0.8675748421052625
17.0,0.8663753263157894,0.8552569263157889,0.8886987789473682,0.8836448000000002,0.8716733263157896
18.0,0.865808484210527,0.852209263157894,0.8870862315789474,0.8822275157894736,0.8715943999999999
19.0,0.8622330947368428,0.8489931368421045,0.8824957684210528,0.8774526526315785,0.8665563157894739
20.0,0.8616575789473684,0.8506459789473677,0.8833986105263147,0.8779466736842104,0.8674051789473689
