,Baseline,Undersampling,Oversampling,SMOTE,SMOTE Undersampling
0.01,0.7950569696969688,0.7108713131313139,0.7973122222222219,0.7986616161616151,0.7835217171717174
0.02,0.8358987755102045,0.7687569387755104,0.8444029591836734,0.8446822448979593,0.8226631632653058
0.03,0.8456712714776634,0.791944020618557,0.8590123024054984,0.8574644329896902,0.8381147422680415
0.04,0.8624777604166669,0.8283058593749991,0.8773585937500002,0.8750241145833343,0.8562827343749994
0.05,0.8691913052631589,0.8480846315789479,0.8828334526315788,0.8801729684210525,0.8639298526315794
0.060000000000000005,0.8734335815602844,0.8617937765957444,0.8865957624113477,0.8842755673758872,0.8686491312056736
0.06999999999999999,0.8765207317381809,0.8688326869066071,0.8900238101766137,0.8871961486163805,0.8719377958169316
0.08,0.882035054347826,0.877015923913042,0.8936256793478263,0.8917827445652173,0.8767138858695644
0.09,0.8861586080586079,0.8851262148962152,0.8980106837606837,0.8961997313797317,0.8807523199023196
0.09999999999999999,0.8840554725008124,0.88244146437292,0.8950988238993713,0.8931612922117959,0.8778516738416344
0.11,0.8844030439223708,0.8855566802860064,0.8946006128702755,0.8925160776302336,0.8768178958120528
0.12,0.8934183522727269,0.8941553124999998,0.9020380492424246,0.9007931628787874,0.8836430113636361
0.13,0.8908658709106987,0.8907912290008836,0.8989680459770114,0.8975128205128201,0.8802397612732095
0.14,0.8910868770764125,0.8920471511627909,0.8989517940199335,0.8977483056478407,0.8798205066445176
0.15000000000000002,0.8906302431372554,0.8918640627450976,0.8979820549019611,0.896759403921569,0.8792513176470588
0.16,0.8975930803571424,0.8985189360119048,0.9036789732142853,0.9024871726190475,0.8844344122023814
0.17,0.8927488164422392,0.8940465556343014,0.8987958894401136,0.8978667469879522,0.8799656555634303
0.18000000000000002,0.8989818834688349,0.8995554742547426,0.9036967886178854,0.9029556097560977,0.8854188211382115
0.19,0.8985787394411958,0.8991086874593892,0.9031498765432099,0.902357309941521,0.8839999155295647
0.2,0.9001067000000003,0.9006903937500002,0.904313162500001,0.9036140374999998,0.8852376375000005
0.21000000000000002,0.8996395539481612,0.9003322483423748,0.9032173960217009,0.9028308499095841,0.8842627787823995
0.22,0.9005882692307693,0.9012564918414909,0.9042637878787886,0.9035835023310024,0.8844767832167832
0.23,0.8984766685488427,0.8989698475437605,0.9018703444381705,0.9009075550536415,0.8820783286278945
0.24000000000000002,0.9010505701754382,0.9013543640350875,0.9038798793859646,0.9033090679824571,0.8840865679824554
0.25,0.9010555519999993,0.9009307093333335,0.9034658666666666,0.9028897386666664,0.8833336053333326
0.26,0.8986404677754671,0.8988416995841995,0.9010912681912674,0.9007290644490645,0.8818514293139298
0.27,0.8989429781836635,0.8993242161339432,0.9013754490106551,0.9009435667174028,0.8806755504819891
0.28,0.9033972619047621,0.9035218849206353,0.9050535218253972,0.9047514980158728,0.884987331349206
0.29000000000000004,0.9010275230694503,0.9009989169499762,0.9025898057309378,0.9023962214667317,0.8807875230694521
0.3,0.9004694952380954,0.9005879904761908,0.9021631142857139,0.9016565428571425,0.8802842714285715
0.31,0.9005284992987388,0.9009296259934557,0.9019855820476864,0.901782618045816,0.8815500935016359
0.32,0.9020219761029405,0.9016790625,0.9028858363970587,0.9028267555147059,0.8798713511029408
0.33,0.9020611849841709,0.9019974581637269,0.9029438308457705,0.902641017639077,0.8801723202170976
0.34,0.9002833778966131,0.899944006238859,0.9008627005347593,0.9005550267379674,0.8787461185383245
0.35000000000000003,0.9032541714285717,0.9028015120879127,0.9037857406593409,0.9036261450549452,0.8799129714285712
0.36000000000000004,0.9033071180555552,0.902982890625,0.9036522743055548,0.9035921874999999,0.8798290668402777
0.37,0.9042278678678684,0.9036386700986707,0.9044188159588151,0.9043644015444016,0.8813322865722871
0.38,0.9049303395585738,0.9044681536502538,0.9048777079796257,0.9049532130730049,0.8812134040747022
0.39,0.9022140647330802,0.901500874316939,0.9019789155107191,0.9019214964270706,0.8773734384195039
0.4,0.9056032333333339,0.9049835083333335,0.9053413916666658,0.9054398499999993,0.8813231083333338
