,Baseline,Undersampling,Oversampling,SMOTE,SMOTE Undersampling
1.0,0.6311003530481226,0.3693638608099469,0.611180676093872,0.6017324846976629,0.4309499279810253
2.0,0.7278853948463575,0.3558852925823526,0.6275375586107286,0.6367369022337777,0.4014183731596189
3.0,0.7522848744145662,0.3123030492834294,0.5703294710549859,0.588708575200141,0.34504714513491436
4.0,0.7678181433190867,0.29701453030345437,0.5745496029437543,0.5940211944459528,0.32357819088170736
5.0,0.794331080097386,0.29578750181460817,0.5939949667469471,0.6103659281386383,0.33246128892675975
6.0,0.8094762655596544,0.290376386926099,0.5913768822353359,0.6135054883654472,0.3147137982072266
7.0,0.8089664566807209,0.27219591376559504,0.5830723535822417,0.6129985862500509,0.310465994788575
8.0,0.8215454831294396,0.2825883566289339,0.6067093549585517,0.6294970492183197,0.32398176189521155
9.0,0.8234107455010368,0.2702132933929728,0.5851590989317067,0.6071491473240967,0.3128752320719838
10.0,0.8304644893487029,0.2847446149782232,0.619407151952193,0.6459869220286539,0.32893661483440256
11.0,0.8338043564092585,0.2951817631131847,0.6181800193849198,0.6404292157329315,0.3201159351014033
12.0,0.8420627835815084,0.2800119615480275,0.6173129733740786,0.6448007084058723,0.3151364316692619
13.0,0.8494985939633846,0.2819312291537586,0.6303873126867876,0.6559099743103824,0.3148665252897645
14.0,0.8445231376185457,0.27500700554695645,0.6262913467498137,0.6535187522746319,0.3222564170593371
15.0,0.8465287252214319,0.27412850395075133,0.6345701761519945,0.6693968534672629,0.31496359495370263
16.0,0.8565607183367424,0.2794098276697089,0.631557720086537,0.6658748801151918,0.3232045247845772
17.0,0.8489043327363206,0.272722422005963,0.6421625741849336,0.6798349012715483,0.3313835410985267
18.0,0.8538713170025449,0.2776834921275193,0.6514747615249217,0.6807297565245648,0.32949942319094583
19.0,0.8531096195817316,0.2781013915956728,0.649055832984114,0.682787699955708,0.32581671032814896
20.0,0.8586543884690055,0.2783516036081076,0.648651071381891,0.6833325911501148,0.3247900466409258
