,Baseline,Undersampling,Oversampling,SMOTE,SMOTE Undersampling
0.01,0.37499999999999944,0.5279999999999999,0.3653999999999998,0.36899999999999955,0.43360000000000004
0.02,0.4247000000000001,0.6489999999999998,0.38520000000000004,0.4024999999999998,0.5015
0.03,0.44499999999999984,0.6324000000000006,0.3777999999999996,0.4090666666666668,0.5064666666666668
0.04,0.4720999999999999,0.6036000000000001,0.39750000000000013,0.43534999999999985,0.5199000000000003
0.05,0.4806400000000005,0.5522400000000002,0.40692,0.44500000000000023,0.5332400000000002
0.060000000000000005,0.4885333333333337,0.5342333333333337,0.40963333333333307,0.4511333333333335,0.5277000000000005
0.06999999999999999,0.5089759834368529,0.5370144927536235,0.432342028985507,0.4752828157349898,0.5393238095238102
0.08,0.5214749999999995,0.5302749999999998,0.45370000000000005,0.4901250000000003,0.5607500000000002
0.09,0.5356222222222221,0.5402888888888887,0.4711555555555557,0.5088666666666664,0.5684
0.09999999999999999,0.5431111111111108,0.5316585858585855,0.4798454545454547,0.513590909090909,0.5636248484848482
0.11,0.5506363636363641,0.5334545454545456,0.4902181818181821,0.5227999999999997,0.5677272727272729
0.12,0.57115,0.5634833333333338,0.5194333333333337,0.5494833333333334,0.5966999999999998
0.13,0.5655230769230768,0.5514615384615388,0.5153999999999999,0.5432461538461544,0.5912769230769233
0.14,0.5770142857142855,0.5693428571428572,0.5320714285714286,0.5592571428571427,0.6020714285714289
0.15000000000000002,0.5827333333333334,0.5673866666666667,0.5393866666666666,0.5634800000000002,0.6042399999999994
0.16,0.6097250000000002,0.5913000000000002,0.5698375000000008,0.5917374999999988,0.6266500000000006
0.17,0.6011294117647057,0.5904705882352945,0.5650588235294122,0.5864117647058825,0.6230588235294118
0.18000000000000002,0.6249222222222217,0.615222222222222,0.5948444444444445,0.6129222222222226,0.6477777777777781
0.19,0.6266526315789474,0.6195157894736846,0.5988105263157896,0.616705263157895,0.6500947368421055
0.2,0.6418900000000001,0.6344599999999996,0.6198500000000001,0.6341100000000002,0.6678800000000007
0.21000000000000002,0.6444952380952378,0.6360952380952385,0.6198666666666672,0.6340000000000007,0.6680190476190482
0.22,0.651136363636363,0.6452,0.6313181818181819,0.6439727272727278,0.6723
0.23,0.653069565217391,0.6472260869565217,0.6335391304347829,0.6462260869565216,0.6778173913043476
0.24000000000000002,0.6671916666666667,0.6636750000000003,0.6540250000000001,0.6617166666666667,0.6957500000000004
0.25,0.6735440000000015,0.6729999999999996,0.6610320000000003,0.6683119999999999,0.6978159999999991
0.26,0.6725692307692305,0.6710769230769225,0.662446153846153,0.6688384615384616,0.7018999999999992
0.27,0.6847851851851852,0.6846074074074073,0.6749037037037046,0.6813407407407404,0.7130074074074078
0.28,0.6979000000000001,0.6981928571428567,0.6897642857142855,0.693607142857142,0.7227142857142854
0.29000000000000004,0.6991517241379311,0.6992344827586203,0.6917655172413795,0.6967172413793107,0.7265448275862072
0.3,0.7059733333333328,0.7069466666666666,0.6991066666666661,0.7025200000000006,0.7280533333333328
0.31,0.7110580645161296,0.7127419354838719,0.7063032258064523,0.7082064516129042,0.7383935483870968
0.32,0.7268874999999998,0.7283562500000005,0.7222437499999997,0.7242875000000004,0.7501875000000001
0.33,0.7308787878787881,0.732872727272727,0.7279333333333337,0.7287515151515148,0.7536424242424247
0.34,0.7312764705882356,0.7349352941176467,0.7299000000000002,0.729476470588236,0.7616294117647054
0.35000000000000003,0.7444228571428564,0.7472114285714289,0.7428342857142847,0.7427828571428564,0.7704057142857141
0.36000000000000004,0.7485944444444452,0.7503888888888887,0.7466999999999997,0.7462222222222225,0.7729666666666667
0.37,0.7558486486486483,0.7584324324324329,0.7556216216216206,0.7546918918918918,0.7872432432432444
0.38,0.7645210526315797,0.7677842105263158,0.7638000000000001,0.7629105263157898,0.7897789473684209
0.39,0.7676974358974368,0.7698000000000002,0.7673846153846161,0.7659846153846152,0.7935794871794868
0.4,0.7802349999999997,0.7821100000000007,0.780205000000001,0.7784449999999996,0.8054650000000001
